cyclomatic_complexity,max_nesting_depth,naming_entropy,avg_function_length,has_docstrings,num_magic_numbers,num_try_except,readable
8.837346494374858,4,0.6407734585526338,35.9703046127934,0,4,1,0
2.0677733003998293,3,0.9051292933497657,13.636390342090426,1,1,2,1
5.034018521167692,3,0.7069137326603979,26.740887627854736,1,3,0,1
5.247005324679991,3,0.6020832795841216,30.0924678973957,1,3,0,1
6.388476854921867,8,0.29733798631542735,90.23827059997272,1,4,0,1
15.381195818165407,3,0.25801618240729035,41.53517915786442,1,9,0,0
6.352251271844298,3,0.29599903806239497,98.5804848749292,1,11,1,0
7.478979590347434,1,0.9743721975748555,6.228018331230362,1,2,0,1
4.155875599828924,2,0.5303024538574549,6.489844743791567,1,1,1,1
1.7926663208852869,1,0.8426976717230028,23.705575855224634,1,2,1,1
22.601581751229165,3,0.1284654933842346,55.21442629577545,0,8,1,0
6.8722866051215385,2,0.5857170883552714,14.738275055304847,0,3,2,0
1.8726387684228678,1,0.7267894999614171,25.18267958740772,1,0,1,1
11.486675062307512,6,0.34141797220802916,67.81059518951203,0,4,0,0
11.660038261163958,3,0.07228568576984218,79.11443642795777,1,13,2,0
18.3897391039638,5,0.5643100419622277,22.333591383259463,0,11,0,0
24.88278722442335,7,0.193284995350507,63.29905715470641,0,11,1,0
3.7930189270909116,1,0.9767675489257543,19.26157566066447,0,1,0,1
1.3833314717542193,2,0.9408078199389989,28.49000694041606,1,1,2,1
19.61301020478492,3,0.02475609538955753,24.458238856078758,0,3,2,0
6.6199741401860805,3,0.9168959754594137,18.704534136684053,1,2,0,1
6.202846852015704,3,0.4538289799397249,76.16660535075972,0,8,0,0
16.245936317558197,5,0.13969574540136748,60.591181206812564,0,8,0,0
24.152505690107603,6,0.027276647738362286,55.320313862494,0,11,2,0
4.76176922056546,3,0.5474542206336731,29.839293905067546,1,0,1,1
7.438989314889323,2,0.7970413902848562,16.339821158784595,1,0,0,0
9.01867377318113,4,0.0757106022876691,89.5167284016717,1,2,1,0
3.4286724132735937,3,0.5332638041054276,18.98759844583506,1,3,2,1
6.162508736768238,3,0.6153973269632659,28.75806868891292,1,1,0,1
14.007418725163703,3,0.3444807216639234,67.5309113182041,1,6,0,0
2.5722337605798735,3,0.8081572461164481,17.74860557187291,1,3,2,1
11.951430484779642,7,0.38530111156562014,69.4997585966085,0,5,0,0
18.29823448974436,8,0.09643421923818593,26.53438118930832,0,14,1,0
2.234708905543563,3,0.7983882099808448,21.425536521799835,1,0,2,1
4.488574409176358,1,0.7507878499589742,33.31334334105107,1,0,2,1
3.9324781465318353,3,0.9880934874940419,12.526709496023143,1,0,0,1
12.986318316186162,5,0.5654595913834979,57.05595490471364,1,2,2,0
